OBJECTID,the_geom,Fac_Type,Field_Office,State_Name,County,City,Fac_Name,Fac_Use,Elevation,Sectional_,Fuel_Types,Atc_Tower,Unicom,Ctaf,Landing_Fee,Wind_Indic
13355,POINT (-98.27314444436021 34.77850277790077),AIRPORT,AOK,OKLAHOMA,COMANCHE,ELGIN,ELGIN'S STONY FIELD,PR,1275,DALLAS-FT WORTH,,N,,,,
13356,POINT (-99.39427777789089 35.43077777835117),AIRPORT,AOK,OKLAHOMA,BECKHAM,ELK CITY,ELK CITY RGNL BUSINESS,PU,2012.80004883,DALLAS-FT WORTH,100LLA,N,122.8,122.8,N,Y
13357,POINT (-97.4016919439158 34.657025000185065),AIRPORT,AOK,OKLAHOMA,GARVIN,ELMORE CITY,MCKEY,PR,1056,DALLAS-FT WORTH,,N,,,N,Y
13358,POINT (-98.00574999988439 35.47272222226348),AIRPORT,AOK,OKLAHOMA,CANADIAN,EL RENO,EL RENO RGNL,PU,1420.40002441,DALLAS-FT WORTH,100LLA,N,122.8,122.8,N,Y
13359,POINT (-97.92888055555777 35.47505277775358),AIRPORT,AOK,OKLAHOMA,CANADIAN,EL RENO,BAKER AIRSTRIP,PR,1370,DALLAS-FT WORTH,,N,,,,
13360,POINT (-98.04060694427343 35.502829721728695),AIRPORT,AOK,OKLAHOMA,CANADIAN,EL RENO,PELLAR FARM,PR,1400,DALLAS-FT WORTH,,N,,,,Y
13361,POINT (-97.97949416742259 35.516718610970926),AIRPORT,AOK,OKLAHOMA,CANADIAN,EL RENO,EL RENO,PU,1395,DALLAS-FT WORTH,,N,,122.9,N,N
13362,POINT (-97.94777777818257 36.39277777769394),HELIPORT,AOK,OKLAHOMA,GARFIELD,ENID,ATWOODS,PR,1296,WICHITA,,N,,,,
13363,POINT (-97.7894166666254 36.37594444377614),AIRPORT,AOK,OKLAHOMA,GARFIELD,ENID,ENID WOODRING RGNL,PU,1167.19995117,WICHITA,100LLA,Y,,118.9,N,Y
13364,POINT (-97.91723944409772 36.33980583311704),AIRPORT,AOK,OKLAHOMA,GARFIELD,ENID,VANCE AFB,PR,1312.69995117,WICHITA,B+,Y,,,,Y
13365,POINT (-99.88105555610251 35.200750000004156),AIRPORT,AOK,OKLAHOMA,BECKHAM,ERICK,HADDOCK FIELD,PU,2097,DALLAS-FT WORTH,,N,,122.9,N,Y
13366,POINT (-95.62737083273858 35.29830416683609),AIRPORT,AOK,OKLAHOMA,MC INTOSH,EUFAULA,EUFAULA MUNI,PU,635,DALLAS-FT WORTH,,N,,122.9,N,Y
13367,POINT (-95.59109722179028 35.31099999974437),HELIPORT,AOK,OKLAHOMA,MC INTOSH,EUFAULA,EPIC MEDICAL CENTER,PR,640,DALLAS-FT WORTH,,N,,,N,Y
13368,POINT (-95.80833333316369 35.309444444126896),AIRPORT,AOK,OKLAHOMA,MC INTOSH,EUFAULA,CANADIAN RIVER RANCH,PR,850,DALLAS-FT WORTH,,N,,,,Y
13369,POINT (-95.60027777761852 35.3886666671392),AIRPORT,AOK,OKLAHOMA,MC INTOSH,EUFAULA,FOUNTAINHEAD LODGE AIRPARK,PU,670,DALLAS-FT WORTH,,N,,122.9,N,Y
13370,POINT (-96.71697694426177 36.56671388867187),HELIPORT,AOK,OKLAHOMA,OSAGE,FAIRFAX,FAIRFAX,PR,960,KANSAS CITY,,N,,,,Y
13371,POINT (-94.85051222169267 36.728683889224996),AIRPORT,AOK,OKLAHOMA,OTTAWA,FAIRLAND,GREEN COUNTRY AIRPARK,PR,840,KANSAS CITY,,N,,,,Y
13372,POINT (-97.66784166656426 36.36523611106971),AIRPORT,AOK,OKLAHOMA,GARFIELD,FAIRMONT,FAIRMONT FIELD,PU,1170,WICHITA,MOGAS,N,,122.9,Y,Y
13373,POINT (-98.47580555643711 36.291194443912346),AIRPORT,AOK,OKLAHOMA,MAJOR,FAIRVIEW,FAIRVIEW MUNI,PU,1273.80004883,WICHITA,100LLA,N,122.8,122.8,N,Y
13374,POINT (-100.31708944427525 36.96669444430719),AIRPORT,AOK,OKLAHOMA,BEAVER,FORGAN,JUDY RANCH,PR,2240,WICHITA,100LL,N,,,N,Y
13375,POINT (-98.40218491694625 34.649826500311725),AIRPORT,AOK,OKLAHOMA,COMANCHE,FORT SILL,HENRY POST AAF (FORT SILL),PR,1188.30004883,DALLAS-FT WORTH,,Y,,124.95,,
13376,POINT (-98.98390908257556 34.3520958062899),AIRPORT,AOK,OKLAHOMA,TILLMAN,FREDERICK,FREDERICK RGNL,PU,1258,DALLAS-FT WORTH,100LL,N,123.05,123.05,N,Y
13377,POINT (-99.10201111130668 36.75849444400098),AIRPORT,AOK,OKLAHOMA,WOODS,FREEDOM,FREEDOM MUNI,PU,1517,WICHITA,,N,,122.9,N,N
13378,POINT (-99.77573472219956 36.29597222235133),AIRPORT,AOK,OKLAHOMA,ELLIS,GAGE,GAGE,PU,2223,WICHITA,,N,,122.9,N,Y
13379,POINT (-98.52257055565606 35.619493889287114),AIRPORT,AOK,OKLAHOMA,BLAINE,GEARY,MCKINLEY RANCH,PR,1420,DALLAS-FT WORTH,,N,,,N,Y
13380,POINT (-98.30410138887589 35.58387777787013),AIRPORT,AOK,OKLAHOMA,CANADIAN,GEARY,CEDAR & SKY FLY IN RANCH,PR,1588,DALLAS-FT WORTH,,N,,,,N
13381,POINT (-97.47925277839742 35.111483333229906),AIRPORT,AOK,OKLAHOMA,MC CLAIN,GOLDSBY,PARADISE AIR HAVEN,PR,1205,DALLAS-FT WORTH,,N,122.95,,,Y
13382,POINT (-97.47039388861117 35.15506749998119),AIRPORT,AOK,OKLAHOMA,MC CLAIN,GOLDSBY,DAVID JAY PERRY,PU,1168.80004883,DALLAS-FT WORTH,100LL,N,122.7,122.7,N,Y
13383,POINT (-97.4505872223725 35.11701305589565),AIRPORT,AOK,OKLAHOMA,MC CLAIN,GOLDSBY,PACER FIELD,PR,1140,DALLAS-FT WORTH,,N,,,N,N
13384,POINT (-97.48166666744854 35.11083333271061),AIRPORT,AOK,OKLAHOMA,MC CLAIN,GOLDSBY,DICK'S,PR,1160,DALLAS-FT WORTH,,N,,,,
13385,POINT (-98.74200916722288 34.23758944411241),AIRPORT,AOK,OKLAHOMA,TILLMAN,GRANDFIELD,GRANDFIELD MUNI,PU,1128,DALLAS-FT WORTH,100LL,N,,122.9,N,Y
